name,path,activity,type,bodyPart,description,thumbnailUrl
2023 cw002,4519506/Plan unique/2023_cw002.mp4,"""Marching in place","interval""",strength,"strength,Sistema cardiovascular",
2023 oa061,4519506/Plan unique/2023_oa061.mp4,gemelos de pie,strength,Gemelos,Gemelos,
2023 rob014,4519506/Plan unique/2023_rob014.mp4,Plancha lateral sobre manos,strength,Oblicuos,Oblicuos,
2023 rob014m,4519506/Plan unique/2023_rob014m.mp4,Plancha lateral sobre manos,strength,Oblicuos,Oblicuos,
2023 rob025a,4519506/Plan unique/2023_rob025a.mp4,Estiramiento,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Corvas""",
2023 xa002,4519506/Plan unique/2023_xa002.mp4,Crunch reverso en banco,strength,Abdominales - Abdominales rectos,Abdominales - Abdominales rectos,
2023 xa003,4519506/Plan unique/2023_xa003.mp4,Abdominal,strength,Abdominales - Abdominales rectos,Abdominales - Abdominales rectos,
2023 xa029,4519506/Plan unique/2023_xa029.mp4,Repeticiones de plancha,strength,Abdominales - Abdominales rectos,Abdominales - Abdominales rectos,
2023 xc001,4519506/Plan unique/2023_xc001.mp4,Planchas pectoral inclinado,strength,"""Pecho","""Pecho, Tríceps""",
2023 xl001,4519506/Plan unique/2023_xl001.mp4,Sentadillas autocarga,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Corvas, Zona lumbar""",
2023 cw002,4519523/Plan unique/2023_cw002.mp4,Descanso,cardio,Cuerpo completo,Cuerpo completo,
2023 cw003,4519523/Plan unique/2023_cw003.mp4,Saltos de tijera,strength,Sistema cardiovascular,Sistema cardiovascular,
2023 oa065,4519523/Plan unique/2023_oa065.mp4,Circunduccion lateral,strength,"""Hombros parte central","""Hombros parte central, Hombros parte trasera, Hombros parte delantera""",
2023 xa029,4519523/Plan unique/2023_xa029.mp4,Repeticiones de plancha,strength,Abdominales - Abdominales rectos,Abdominales - Abdominales rectos,
2023 xa037,4519523/Plan unique/2023_xa037.mp4,Extension de cadera completo,strength,"""Glúteos","""Glúteos, Corvas""",
2023 xa037m,4519523/Plan unique/2023_xa037m.mp4,Extension de cadera completo,strength,Todos los abdominales,Todos los abdominales,
2023 xc004,4519523/Plan unique/2023_xc004.mp4,Planchas apoyado en las rodillas,strength,"""Pecho","""Pecho, Tríceps""",
2023 xf002,4519523/Plan unique/2023_xf002.mp4,Molinillo,strength,Oblicuos,Oblicuos,
2023 xl015,4519523/Plan unique/2023_xl015.mp4,Sentadilla libre tipo sumo,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Corvas, Zona lumbar, Abductor""",
2023 xl023,4519523/Plan unique/2023_xl023.mp4,Hip thrust sin peso,strength,"""Glúteos","""Glúteos, Corvas""",
2023 xz002,4519523/Plan unique/2023_xz002.mp4,Superman,strength,Zona lumbar,Zona lumbar,
2023 cw002,4519531/Plan unique/2023_cw002.mp4,Descanso,cardio,Cuerpo completo,Cuerpo completo,
2023 cw003,4519531/Plan unique/2023_cw003.mp4,Saltos de tijera,strength,Sistema cardiovascular,Sistema cardiovascular,
2023 impact103,4519531/Plan unique/2023_impact103.mp4,Sentadilla con press,strength,"""Cuádriceps","""Cuádriceps, Hombros parte delantera, Glúteos, Corvas, Zona lumbar, Hombros parte central, Tríceps""",
2023 kettler151,4519531/Plan unique/2023_kettler151.mp4,Esqui de fondo,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Corvas""",
2023 uz001,4519531/Plan unique/2023_uz001.mp4,Burpee,strength,"""Abdominales - Abdominales rectos","""Abdominales - Abdominales rectos, Cuádriceps, Glúteos, Corvas, Zona lumbar""",
2023 xa021,4519531/Plan unique/2023_xa021.mp4,Cruce de piernas tumbado,strength,Abdominales - Abdominales rectos,Abdominales - Abdominales rectos,
2023 xa035,4519531/Plan unique/2023_xa035.mp4,Bicicleta (inclinado),strength,Abdominales - Abdominales rectos,Abdominales - Abdominales rectos,4519531/Plan unique/images/946674077.png
2023 xa036,4519531/Plan unique/2023_xa036.mp4,Flexion lateral derecha tumbado,strength,Oblicuos,Oblicuos,4519531/Plan unique/images/946674079.png
2023 xa036m,4519531/Plan unique/2023_xa036m.mp4,Crunch doblándose,strength,"""Oblicuos","""Oblicuos, Abductor, Glúteos""",4519531/Plan unique/images/946674078.png
2023 xc002,4519531/Plan unique/2023_xc002.mp4,Planchas manos separadas,strength,"""Pecho","""Pecho, Tríceps""",
2023 xl023,4519531/Plan unique/2023_xl023.mp4,Hip thrust sin peso,strength,"""Glúteos","""Glúteos, Corvas""",
2023 id1519,4519812/Plan unique/2023_id1519.mp4,Big toe pose,strength,Corvas,Corvas,4519812/Plan unique/images/935055038.png
2023 id1559,4519812/Plan unique/2023_id1559.mp4,"""High lunge crescent variation","right""",strength,"strength,""Cuádriceps, Glúteos, Corvas""",
2023 id1559m,4519812/Plan unique/2023_id1559m.mp4,"""High lunge crescent variation","left""",strength,"strength,""Cuádriceps, Corvas, Glúteos, Dorsales, Abdominales - Abdominales rectos """,
2023 id1560,4519812/Plan unique/2023_id1560.mp4,"""Intense side stretch pose","right""",strength,"strength,Abdominales - Abdominales rectos",4519812/Plan unique/images/935055021.png
2023 id1560m,4519812/Plan unique/2023_id1560m.mp4,"""Intense side stretch pose","left""",strength,"strength,""Corvas, Zona lumbar """,4519812/Plan unique/images/935055002.png
